source,target,value
Oba Ovonramwen,Augustus Pitt-Rivers,2
Augustus Pitt-Rivers,Robert Owen Lehman,2
Robert Owen Lehman,MFA,11
Oba Ovonramwen,Robert Owen Lehman,9
Oba Ovonramwen,MFA,4
Oba Ovonramwen,John Klejman,2
John Klejman,Nelson A. Rockefeller,2
Nelson A. Rockefeller,MET,3
Oba Ovonramwen,Nelson A. Rockefeller,3
Klaus G. Perls,MET,2
Oba Ovonramwen,Klaus G. Perls,2
Oba Ovonramwen,William Webster,13
William Webster,Hans Meyer,5
Hans Meyer,Grassi-Voelkerkunde,5
Oba Ovonramwen,Hans Meyer,5
William Webster,Grassi-Voelkerkunde,3
Oba Ovonramwen,William Cockburn,8
William Cockburn,British-Museum,8
William Webster,Ethnologisches-Berlin,5
Oba Ovonramwen,Eduard Schmidt,3
Eduard Schmidt,Ethnologisches-Berlin,3
